query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
1a	204.9	24.1	3.3	205,28,24,23,25,24	(A Warner Bros.-First National Picture) (presents)|A Clockwork Orange|1934
1b	223.5	19.0	7.6	223,19,22,15,15,23	(Set Decoration Rentals) (uncredited)|Disaster Movie|2008
1c	325.9	55.8	11.9	326,51,57,50,56,67	(co-production)|Intouchables|2011
1d	160.3	23.9	2.3	160,25,24,24,23,22	(Set Decoration Rentals) (uncredited)|Disaster Movie|2004
2a	406.6	128.3	14.0	407,134,128,118,120,132	'Doc'
2b	504.2	100.7	22.2	504,102,84,77,101,102	'Doc'
2c	219.1	16.7	7.5	219,24,11,17,19,17	NULL
2d	701.2	349.7	26.7	701,319,356,360,350,343	& Teller
3a	3060.1	1450.3	378.2	3060,1450,1273,1612,1669,1251	2 Days in New York
3b	2237.8	559.8	183.1	2238,554,604,560,532,848	300: Rise of an Empire
3c	3392.8	2359.0	558.8	3393,2359,2309,2766,1732,2393	& Teller 2
4a	564.8	241.6	23.5	565,254,269,240,242,237	5.1|& Teller 2
4b	292.9	50.5	14.2	293,39,53,50,42,56	9.1|Batman: Arkham City
4c	1081.1	605.8	132.6	1081,691,654,606,574,505	2.1|& Teller 2
5a	207.7	56.9	5.0	208,57,58,61,57,53	NULL
5b	165.2	45.9	13.2	165,54,61,46,44,44	NULL
5c	2181.4	1032.2	300.8	2181,882,1181,886,1189,1032	11,830,420
6a	1021.5	425.5	53.5	1021,429,438,425,399,362	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6b	738.6	245.6	98.1	739,303,166,260,202,246	based-on-comic|Downey Jr., Robert|The Avengers 2
6c	770.6	137.7	59.8	771,239,134,142,127,138	marvel-cinematic-universe|Downey Jr., Robert|The Avengers 2
6d	1183.5	646.4	46.6	1184,639,683,646,623,673	based-on-comic|Downey Jr., Robert|2008 MTV Movie Awards
6e	1284.4	640.4	163.6	1284,700,686,640,516,543	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6f	1661.0	917.2	210.4	1661,1192,859,831,919,917	based-on-comic|"Steff", Stefanie Oxmann Mcgaha|& Teller 2
