1,1,0.000286488
1,2,0.000297936
1,3,0.000331479
2,1,0.000329968
2,2,0.000303730
2,3,0.000324416
3,1,0.000414071
3,2,0.000445182
3,3,0.000389838
4,1,0.000372080
4,2,0.000356299
4,3,0.000344374
5,1,0.338121319
5,2,0.329137984
5,3,0.337920363
6,1,0.023116725
6,2,0.017733201
6,3,0.018910019
7,1,0.000411873
7,2,0.000425601
7,3,0.000406746
8,1,0.000718382
8,2,0.000663498
8,3,0.000720311
9,1,0.493387277
9,2,0.463883681
9,3,0.448359709
10,1,0.687538291
10,2,0.541986678
10,3,0.522893457
11,1,0.282208828
11,2,0.112999632
11,3,0.113654477
12,1,0.368978433
12,2,0.163148434
12,3,0.151397908
13,1,0.266679333
13,2,0.144037372
13,3,0.156499540
14,1,0.323106168
14,2,0.250537910
14,3,0.243022833
15,1,0.323506077
15,2,0.296170872
15,3,0.329211078
16,1,0.000678040
16,2,0.000657220
16,3,0.000694262
17,1,0.836801749
17,2,0.798943585
17,3,0.801129986
18,1,0.219007781
18,2,0.148027741
18,3,0.155140584
19,1,1.089486824
19,2,0.946618031
19,3,1.008207651
20,1,0.035901117
20,2,0.026248119
20,3,0.021587605
21,1,0.999899983
21,2,0.878736792
21,3,0.864939631
22,1,1.259325481
22,2,1.060405992
22,3,1.045967422
23,1,1.529409091
23,2,1.163798028
23,3,1.163796041
24,1,1.193645669
24,2,0.978703127
24,3,0.991320090
25,1,0.212493853
25,2,0.134679959
25,3,0.125371610
26,1,0.273326514
26,2,0.208837746
26,3,0.207287766
27,1,0.218923638
27,2,0.124528810
27,3,0.115927127
28,1,1.146058018
28,2,0.974741913
28,3,0.973950040
29,1,2.417770943
29,2,2.257507303
29,3,2.230862278
30,1,0.100942347
30,2,0.053998992
30,3,0.050278480
31,1,0.537703508
31,2,0.400703879
31,3,0.406953320
32,1,0.648291093
32,2,0.425067029
32,3,0.434304906
33,1,1.734276332
33,2,1.543774359
33,3,1.563418539
34,1,0.152488105
34,2,0.105780324
34,3,0.104975420
35,1,0.152924579
35,2,0.111649382
35,3,0.102832547
36,1,0.001010344
36,2,0.000705625
36,3,0.000718491
37,1,0.086748585
37,2,0.075788822
37,3,0.075735965
38,1,0.047415980
38,2,0.042970421
38,3,0.041276801
39,1,0.228679492
39,2,0.191259084
39,3,0.187758892
40,1,0.304849988
40,2,0.242770110
40,3,0.267415715
41,1,0.020441356
41,2,0.016583686
41,3,0.019789592
42,1,0.022062286
42,2,0.019732619
42,3,0.018498783
43,1,0.013070286
43,2,0.008969017
43,3,0.007709684
