1,1,0.001
1,2,0.001
1,3,0.001
2,1,0.004
2,2,0.002
2,3,0.001
3,1,0.003
3,2,0.001
3,3,0.001
4,1,0.001
4,2,0.001
4,3,0.001
5,1,0.009
5,2,0.002
5,3,0.002
6,1,0.002
6,2,0.001
6,3,0.002
7,1,0.003
7,2,0.001
7,3,0.001
8,1,0.011
8,2,0.006
8,3,0.006
9,1,0.005
9,2,0.003
9,3,0.003
10,1,0.013
10,2,0.006
10,3,0.006
11,1,0.006
11,2,0.004
11,3,0.003
12,1,0.005
12,2,0.003
12,3,0.004
13,1,0.003
13,2,0.002
13,3,0.002
14,1,0.007
14,2,0.006
14,3,0.003
15,1,0.005
15,2,0.003
15,3,0.002
16,1,0.012
16,2,0.003
16,3,0.002
17,1,0.003
17,2,0.003
17,3,0.003
18,1,0.004
18,2,0.002
18,3,0.003
19,1,0.006
19,2,0.003
19,3,0.003
20,1,0.001
20,2,0.001
20,3,0.001
21,1,0.004
21,2,0.001
21,3,0.002
22,1,0.001
22,2,0.001
22,3,0.002
23,1,0.010
23,2,0.003
23,3,0.003
24,1,0.011
24,2,0.009
24,3,0.009
25,1,0.003
25,2,0.002
25,3,0.001
26,1,0.002
26,2,0.001
26,3,0.001
27,1,0.002
27,2,0.001
27,3,0.001
28,1,0.004
28,2,0.003
28,3,0.003
29,1,0.010
29,2,0.004
29,3,0.004
30,1,0.014
30,2,0.015
30,3,0.015
31,1,0.003
31,2,0.003
31,3,0.004
32,1,0.004
32,2,0.003
32,3,0.003
33,1,0.004
33,2,0.003
33,3,0.003
34,1,0.002
34,2,0.003
34,3,0.003
35,1,0.005
35,2,0.002
35,3,0.003
36,1,0.002
36,2,0.003
36,3,0.003
37,1,0.005
37,2,0.002
37,3,0.003
38,1,0.004
38,2,0.003
38,3,0.003
39,1,0.003
39,2,0.002
39,3,0.002
40,1,0.008
40,2,0.003
40,3,0.003
41,1,0.009
41,2,0.003
41,3,0.003
42,1,0.007
42,2,0.007
42,3,0.007
43,1,0.003
43,2,0.003
43,3,0.003
