1,1,0.001
1,2,0.001
1,3,0.001
2,1,0.001
2,2,0.001
2,3,0.001
3,1,0.002
3,2,0.001
3,3,0.002
4,1,0.002
4,2,0.001
4,3,0.001
5,1,0.003
5,2,0.002
5,3,0.002
6,1,0.003
6,2,0.001
6,3,0.001
7,1,0.002
7,2,0.001
7,3,0.001
8,1,0.002
8,2,0.002
8,3,0.002
9,1,0.003
9,2,0.002
9,3,0.002
10,1,0.004
10,2,0.002
10,3,0.002
11,1,0.003
11,2,0.002
11,3,0.002
12,1,0.003
12,2,0.002
12,3,0.002
13,1,0.003
13,2,0.002
13,3,0.002
14,1,0.003
14,2,0.002
14,3,0.002
15,1,0.003
15,2,0.002
15,3,0.002
16,1,0.003
16,2,0.002
16,3,0.002
17,1,0.005
17,2,0.003
17,3,0.003
18,1,0.003
18,2,0.002
18,3,0.002
19,1,0.004
19,2,0.003
19,3,0.003
20,1,0.002
20,2,0.001
20,3,0.001
21,1,0.004
21,2,0.002
21,3,0.001
22,1,0.004
22,2,0.031
22,3,0.002
23,1,0.006
23,2,0.003
23,3,0.003
24,1,0.008
24,2,0.004
24,3,0.004
25,1,0.003
25,2,0.002
25,3,0.001
26,1,0.002
26,2,0.002
26,3,0.002
27,1,0.003
27,2,0.001
27,3,0.002
28,1,0.004
28,2,0.003
28,3,0.002
29,1,0.008
29,2,0.010
29,3,0.003
30,1,0.008
30,2,0.006
30,3,0.006
31,1,0.004
31,2,0.002
31,3,0.002
32,1,0.004
32,2,0.002
32,3,0.002
33,1,0.004
33,2,0.002
33,3,0.002
34,1,0.004
34,2,0.003
34,3,0.003
35,1,0.004
35,2,0.003
35,3,0.003
36,1,0.003
36,2,0.002
36,3,0.002
37,1,0.006
37,2,0.003
37,3,0.003
38,1,0.005
38,2,0.003
38,3,0.003
39,1,0.005
39,2,0.003
39,3,0.003
40,1,0.007
40,2,0.004
40,3,0.004
41,1,0.005
41,2,0.002
41,3,0.003
42,1,0.005
42,2,0.003
42,3,0.003
43,1,0.005
43,2,0.003
43,3,0.003
