query	cold_ms	hot_median_ms	hot_iqr_ms	samples_ms	answer
1a	199.0	62.0	22.5	199,77,55,62,50,73	(A Warner Bros.-First National Picture) (presents)|A Clockwork Orange|1934
1b	110.0	26.0	5.5	110,26,26,21,21,27	(Set Decoration Rentals) (uncredited)|Disaster Movie|2008
1c	99.0	27.0	10.5	99,26,34,27,27,40	(co-production)|Intouchables|2011
1d	102.0	23.0	8.5	102,30,22,30,21,23	(Set Decoration Rentals) (uncredited)|Disaster Movie|2004
2a	270.0	104.0	19.0	270,109,104,87,91,107	'Doc'
2b	245.0	93.0	9.5	245,95,87,91,93,102	'Doc'
2c	132.0	35.0	6.5	132,41,35,35,31,32	NULL
2d	370.0	266.0	106.0	370,218,279,372,266,221	& Teller
3a	1561.0	738.0	44.5	1561,738,757,682,750,736	2 Days in New York
3b	2012.0	643.0	170.0	2012,537,647,678,643,448	300: Rise of an Empire
3c	2224.0	1017.0	128.5	2224,938,1017,1102,1108,1015	& Teller 2
4a	711.0	450.0	94.0	711,450,490,474,389,387	5.1|& Teller 2
4b	366.0	126.0	17.0	366,141,132,126,114,125	9.1|Batman: Arkham City
4c	651.0	368.0	122.5	651,454,449,329,329,368	2.1|& Teller 2
5a	255.0	86.0	28.0	255,111,110,85,80,86	NULL
5b	2802.0	645.0	369.0	2802,811,931,645,535,469	NULL
5c	1446.0	710.0	170.5	1446,649,620,710,746,864	11,830,420
6a	1234.0	403.0	85.5	1234,421,403,391,496,355	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6b	562.0	278.0	79.0	562,319,278,264,246,349	based-on-comic|Downey Jr., Robert|The Avengers 2
6c	725.0	273.0	42.5	725,286,247,279,273,233	marvel-cinematic-universe|Downey Jr., Robert|The Avengers 2
6d	827.0	491.0	21.5	827,465,491,497,492,481	based-on-comic|Downey Jr., Robert|2008 MTV Movie Awards
6e	1113.0	285.0	71.5	1113,390,282,287,252,285	marvel-cinematic-universe|Downey Jr., Robert|Iron Man 3
6f	1455.0	799.0	380.5	1455,799,1037,1209,758,727	based-on-comic|"Steff", Stefanie Oxmann Mcgaha|& Teller 2
7a	354.0	119.0	27.0	354,126,119,100,130,102	Antonioni, Michelangelo|Dressed to Kill
7b	246.0	91.0	9.5	246,92,77,93,89,91	De Palma, Brian|Dressed to Kill
